national_team_id,name,team_code,country_id,country_name,country_code,confederation,team_image_url,squad_size,average_age,foreigners_number,foreigners_percentage,total_market_value,coach_name,fifa_ranking,last_season,url
3468,Hungary,hungary,178,Hungary,UNG1,UEFA,https://tmssl.akamaized.net//images/flagge/head/178.png?lm=1521635893,25,26.5,16,64.0,205600006.0,,42,2025,https://www.transfermarkt.co.uk/hungary/startseite/verein/3468
3499,Senegal,senegal,149,Senegal,SEN1,CAF,https://tmssl.akamaized.net//images/flagge/head/149.png?lm=1520611569,28,26.9,28,100.0,474000000.0,,14,2025,https://www.transfermarkt.co.uk/senegal/startseite/verein/3499
3503,Slovakia,slovakia,154,Slovakia,SLO1,UEFA,https://tmssl.akamaized.net//images/flagge/head/154.png?lm=1520611569,27,28.6,26,96.3,130449997.0,,48,2025,https://www.transfermarkt.co.uk/slovakia/startseite/verein/3503
3504,Venezuela,venezuela,182,Venezuela,VZ1A,CONMEBOL,https://tmssl.akamaized.net//images/flagge/head/182.png?lm=1520611569,28,26.4,18,64.3,62779999.0,,49,2025,https://www.transfermarkt.co.uk/venezuela/startseite/verein/3504
3505,United States,united-states,184,United States,MLS1,CONCACAF,https://tmssl.akamaized.net//images/flagge/head/184.png?lm=1520611569,27,26.4,19,70.4,356700012.0,,16,2025,https://www.transfermarkt.co.uk/united-states/startseite/verein/3505
3509,Republic of Ireland,republic-of-ireland,72,Ireland,IR1,UEFA,https://tmssl.akamaized.net//images/flagge/head/72.png?lm=1520611569,26,27.3,26,100.0,185250000.0,,59,2025,https://www.transfermarkt.co.uk/republic-of-ireland/startseite/verein/3509
3510,Canada,canada,80,Canada,CDN1,CONCACAF,https://tmssl.akamaized.net//images/flagge/head/80.png?lm=1520611569,26,26.5,23,88.5,129380005.0,,30,2025,https://www.transfermarkt.co.uk/canada/startseite/verein/3510
3555,Latvia,latvia,92,Latvia,LET1,UEFA,https://tmssl.akamaized.net//images/flagge/head/92.png?lm=1520611569,27,26.9,13,48.1,17680000.0,,137,2025,https://www.transfermarkt.co.uk/latvia/startseite/verein/3555
3556,Croatia,croatia,37,Croatia,KR1,UEFA,https://tmssl.akamaized.net//images/flagge/head/37.png?lm=1520611569,26,28.3,24,92.3,283299988.0,,11,2025,https://www.transfermarkt.co.uk/croatia/startseite/verein/3556
3557,Sweden,sweden,147,Sweden,SE1,UEFA,https://tmssl.akamaized.net//images/flagge/head/147.png?lm=1520611569,26,26.4,22,84.6,363980011.0,,38,2025,https://www.transfermarkt.co.uk/sweden/startseite/verein/3557
3560,Iraq,iraq,70,Iraq,IRQ1,AFC,https://tmssl.akamaized.net//images/flagge/head/70.png?lm=1520611569,28,26.6,15,53.6,19180000.0,,57,2025,https://www.transfermarkt.co.uk/iraq/startseite/verein/3560
3561,Albania,albania,3,Albania,ALB1,UEFA,https://tmssl.akamaized.net//images/flagge/head/3.png?lm=1520611569,23,28.3,21,91.3,81750000.0,,64,2025,https://www.transfermarkt.co.uk/albania/startseite/verein/3561
3563,Uzbekistan,uzbekistan,180,Uzbekistan,UZ1,AFC,https://tmssl.akamaized.net//images/flagge/head/180.png?lm=1520611569,26,27.9,10,38.5,63750000.0,,50,2025,https://www.transfermarkt.co.uk/uzbekistan/startseite/verein/3563
3574,Iceland,iceland,73,Iceland,IS1,UEFA,https://tmssl.akamaized.net//images/flagge/head/73.png?lm=1520611569,23,27.8,21,91.3,74029999.0,,75,2025,https://www.transfermarkt.co.uk/iceland/startseite/verein/3574
